id;ord;name;orig_name;ext;content_type;path;file_size;created_at;created_by;modified_at;modified_by
1;7679;잔인하게;끊임없는 nor via;computerise;몹시;사려 깊은;1130;2024-05-21T19:27:14;23289;2024-05-21T08:21:42;27105
2;17094;행복하게 ew;우연히 활발한;정교한;past in yum;finally;3090;2024-05-21T14:14:52;24445;2024-05-21T15:34:42;27234
3;12177;배당;furthermore;겁 없는;거의 meh 애프터셰이브;유추 whenever;28404;2024-05-21T04:42:26;4790;2024-05-21T04:54:52;21352
4;18050;어느 싼;if;via enthrone oof;면밀히 즐겁게;대안 before 훌륭한;16134;2024-05-20T23:11:41;26383;2024-05-20T22:28:05;22254
5;616;거의;mmm 열심히 lump;어색하게;though among;쿨하게 by;23563;2024-05-21T02:31:25;3245;2024-05-21T18:02:24;10913
6;18987;where uh-huh 의기 양양한;여진 gadzooks 필수적인;아몬드;호박색 고의로 unto;진술서;27388;2024-05-21T12:00:18;27859;2024-05-21T13:38:02;8996
7;10945;boo eek schlepp;across;for regarding while;what;gosh down;3748;2024-05-21T03:47:04;9056;2024-05-21T04:26:18;3303
8;668;공정한 합금 where;고의로;yuck;아드레날린 even off;ick wield;5620;2024-05-21T09:31:06;26359;2024-05-21T07:57:04;452
9;6973;carbonize;악어;vice 부족한;ah;upon aha;28924;2024-05-21T09:54:37;25618;2024-05-21T02:03:53;662
10;16161;sire exhilarate 조언;열심히 공적 탄력 있는;맹목적으로 음향학 zap;itch 두려운;무서운 phooey yet;29363;2024-05-21T11:43:04;13418;2024-05-21T09:26:56;9157
