id;depth;comment;read_cnt;good_cnt;bad_cnt;created_at;created_by;modified_at;modified_by
1;25345;gah midst;32685;25746;21760;2024-05-21T08:55:52;10873;2024-05-21T20:06:18;25273
2;31462;splinter 어느 hm;24921;22661;19803;2024-05-21T05:14:20;12166;2024-05-21T15:22:06;23097
3;28401;비행사 진보;8598;13574;10317;2024-05-21T07:31:02;5930;2024-05-21T02:27:44;10009
4;31170;적응;4802;18760;5212;2024-05-21T15:26:36;13451;2024-05-20T23:20:08;20711
5;6579;다른;1410;3062;30597;2024-05-21T22:12:53;25285;2024-05-21T18:59:15;407
6;16063;zowie 호박색;11438;17700;11758;2024-05-21T14:16:04;25572;2024-05-21T11:01:01;28131
7;6871;brr amidst from;17789;30721;28921;2024-05-21T02:47:52;22091;2024-05-21T13:14:20;32673
8;16457;금발의 emend whoa;13561;26002;10293;2024-05-21T18:39:08;4727;2024-05-21T07:15:52;9080
9;30007;용기 있는;31112;18118;11453;2024-05-21T00:54:50;19369;2024-05-20T23:32:23;16354
10;31320;거꾸로;28751;20854;328;2024-05-21T10:40:25;5856;2024-05-21T09:29:06;8520
