id;status;title;contents;contents_content_type;read_cnt;good_cnt;bad_cnt;created_at;created_by;modified_at;modified_by
1;remedy through;여배우 groom furthermore;../fake-data/blob/hipster.png;image/png;4315;18488;30309;2024-05-21T18:54:11;15708;2024-05-21T15:50:40;866
2;거꾸로 나이;면밀히 거의;../fake-data/blob/hipster.png;image/png;12490;31697;11942;2024-05-21T06:33:19;1652;2024-05-21T04:45:38;28348
3;decouple 같은 거의;약간의;../fake-data/blob/hipster.png;image/png;7524;24393;6519;2024-05-21T19:32:51;4707;2024-05-21T00:56:57;27258
4;술 blah;endeavor um than;../fake-data/blob/hipster.png;image/png;20222;3065;2888;2024-05-21T08:11:09;26528;2024-05-21T08:37:39;28623
5;pro;의기 양양한 먼;../fake-data/blob/hipster.png;image/png;11597;28156;15809;2024-05-21T18:45:41;28736;2024-05-21T14:54:08;26476
6;특사 complain 열심히;if between vote;../fake-data/blob/hipster.png;image/png;27706;17898;18326;2024-05-21T17:58:45;22322;2024-05-21T00:52:57;16764
7;exert;다소 승인 compel;../fake-data/blob/hipster.png;image/png;16337;32260;22845;2024-05-21T05:03:10;24365;2024-05-21T08:13:30;26827
8;supposing from;mmm;../fake-data/blob/hipster.png;image/png;21341;17075;17681;2024-05-21T13:28:38;2956;2024-05-21T08:56:01;835
9;shatter analyse 비어 있는;bunch age;../fake-data/blob/hipster.png;image/png;9660;24964;14553;2024-05-21T10:56:33;28040;2024-05-21T19:54:34;1952
10;용감하게 열심히;lest 승인 fooey;../fake-data/blob/hipster.png;image/png;15815;10365;4254;2024-05-21T02:16:34;9425;2024-05-21T12:24:58;30347
